NP_610240	Q23985	1
P04197	P22812	0
NP_787977	Q11002	0
P23255	P10676	0
O18388	P29413	0
P24785	Q9VK18	1
Q9VB45	Q9VRZ3	1
Q9XTU6	Q94392	0
P07909	Q9VYV5	0
Q9VUB4	NP_477239	1
Q7KKH3	Q9VH19	0
Q26365	P22265	0
NP_649714	Q9VT69	1
Q9VHB5	Q8STG9	1
P48987	Q9VTI8	0
Q8INR6	Q9VU84	0
Q9V9S8	P42003	0
Q9TYS3	Q19969	1
P17993	P17993	1
Q9U3C8	P46561	0
P18491	Q9VGC3	0
P48987	Q9V8M5	0
Q9VCR6	Q95TJ6	1
Q8IP90	Q8SXP8	1
Q9NH52	Q86LS4	1
Q05192	X2JA43	0
Q9VUW9	Q24025	1
Q9VTR6	Q9VE54	1
P54350	Q8MRC9	0
P32715	P75750	0
Q9V4B8	Q7JWN2	1
Q9VPB0	P07183	1
Q9VDV3	Q9VTH4	0
O17933	Q18938	0
Q9VG73	O96860	0
P33231	P00805	0
Q9VI82	Q9NHD5	0
Q7JQT8	Q9VV44	1
Q09289	P52899	0
Q27934	P29310	1
Q8SX89	Q8MLR7	1
Q7K3Q3	Q7K3U4	1
P13054	O18388	0
P46769	P91353	0
Q9VKD6	NP_572147	1
P52172	P10987	0
Q9VWG6	Q9VVT2	1
P40798	Q9V595	0
P08970	Q9VIM5	0
Q23985	Q9VF89	0
P07017	P76008	0
P40614	O02108	1
Q9VI82	Q9VH45	1
NP_524087	Q9V407	0
Q9XZT0	Q7KM13	1
NP_573219	NP_611817	1
A0A0B4KFJ2	Q9VNT5	0
Q9N4Q7	O02108	0
P39572	P10383	0
P07909	Q86BN8	0
Q23120	P47209	0
Q27934	P45594	0
Q8MQI6	A0A0B4KED9	0
Q9VJY9	P10035	1
Q9VWA1	Q9VMX1	0
P08716	P00962	0
Q23973	Q9VIM5	0
Q9VIP8	E1JHQ1	0
P91001	Q9XV52	0
Q9W0K4	E1JHX5	0
Q95TK5	Q9V466	1
Q9VIT0	Q9V3P0	0
Q9NHP8	M9PCL5	0
O17850	Q21557	0
Q21372	Q93351	1
P39413	Q95028	0
P50880	Q19766	0
P49847	Q24439	0
Q02427	P02572	0
Q19537	Q27873	0
O77134	Q9U9Q2	1
P50880	P34264	0
A1ZAU6	A1Z8W1	1
Q9VY91	Q94524	1
NP_787977	Q9VPS5	0
Q22174	Q18776	1
Q9VIF0	E2QC90	0
Q9VQS0	Q9VNK8	1
Q9VIT0	A4V0A1	0
A0A0S0WNN6	Q9VYH3	0
Q9V3P9	Q8IQI1	1
Q8IQB4	Q8INA9	1
Q22799	O01916	0
NP_726032	P41094	1
P46941	Q9XTV9	1
Q9VTX7	P92208	0
Q27350	P04657	0
P15372	NP_651125	1
Q23237	P54815	0
Q9N428	P46561	0
P42325	Q9VWM4	1
Q9VMM3	Q9V468	1
Q9VTP5	NP_649932	1
Q7K0S9	P13706	0
Q9NBK5	Q9W495	0
Q9V422	Q9VA32	1
O02056	Q9NAD6	1
O46106	Q23972	0
P08970	P48592	0
P54358	A0A0B4KED9	0
Q7JRM5	Q9VAU6	1
Q9W088	Q09332	0
Q8SZP2	Q9W283	1
P16241	P02828	0
Q9VUL2	Q9VZZ8	1
Q9VFS8	O18412	1
Q19294	P27798	1
P41092	Q9VHM3	1
P09085	Q94981	0
P54745	P07118	0
Q9VAU9	Q94981	0
P75830	P07913	0
Q8I8V0	Q9VYG2	1
Q9W0B3	Q9VW28	1
Q961V5	Q9VFF0	1
Q9XYR0	Q9W2R4	1
Q9VBI3	P15330	1
Q9XTL9	Q9VLU9	1
Q9VYA4	Q9VBT2	1
P21888	P33937	0
Q9W3S4	Q8SX40	1
P23757	Q6WV20	0
Q9W221	Q9VTH0	1
P12646	O77135	1
P21893	P06612	1
P04970	O45503	0
Q9VK21	NP_723932	1
Q26307	NP_611259	1
Q8T0S6	Q9W5R5	1
Q9VJE4	Q9VZD5	0
Q8T6B9	M9PBP5	0
P39413	Q9VN97	0
Q9VD51	O18404	0
P12613	Q9VVN2	0
Q94261	O17214	0
Q9VIE8	Q9W3R7	1
P29052	P81900	0
Q8IQG0	Q8T965	1
A0A0B4LH53	Q9VR29	1
NP_723600	A1Z9E3	1
Q9VDS6	A0A0S0X8K7	0
NP_648175	M9PCL5	0
Q9VHI4	Q9VHD2	0
Q9VZF4	Q9VMN5	0
P92189	P02574	0
Q9VR19	M9PGA7	1
X2JA05	Q961G1	0
Q22936	Q9Y048	1
Q9W281	Q9VSK9	1
Q9VD51	P42519	0
Q9VVA7	Q00963	1
Q8WS79	Q24090	1
Q9TZ93	O16785	0
Q9VKG8	NP_611978	1
Q7JVP2	Q9VBS9	1
E1JIH5	P22700	1
E1JIH5	P07487	0
Q9VHA8	Q8INI8	1
O46036	Q9V8M5	0
Q9VT69	A0A0B4K6K7	1
Q9VZ44	Q7JWN2	1
P41932	Q18809	1
Q9N431	Q20052	1
Q95RG8	Q7JNE1	1
P51123	Q9VWR5	0
A0A0S0WNN6	F3YDH0	0
Q9VYQ5	Q9VK46	1
Q24492	P15007	0
P29775	Q24133	0
O01422	Q93353	0
P09085	Q7K0S1	1
Q965H3	Q9NGT3	1
Q9VK00	O76908	1
P25748	P25748	1
B7YZS3	P54622	0
P41073	E8NHB3	0
Q95028	Q9VA73	0
P34460	Q9XVA3	1
Q9U281	P34574	0
NP_651448	Q9VTT3	1
O44081	Q9V6X7	0
P20240	P08928	1
E2QCS7	NP_731049	1
Q9VD35	Q9VQW4	1
Q9W2M5	O46100	1
P48727	Q9U357	0
Q9VTH4	Q7KW39	0
A0A650FBE4	NP_524470	0
P09089	P12613	0
Q19275	Q09581	1
Q9VQS0	Q9VCV9	1
NP_610660	NP_610058	1
Q9VAZ1	Q960S0	1
P25008	Q9V6X7	0
Q09456	Q9N5U5	1
Q9W1V7	Q9V3G9	1
Q9VLA2	Q9VTH4	0
Q9U405	X2JH42	0
NP_648567	Q9W087	1
O44081	Q24404	1
Q9VGI8	X2J7F1	0
Q9VQK5	Q9VYG2	1
P52172	Q27884	0
Q24008	Q9XYW6	1
Q9VST2	P10735	0
Q8IPU3	Q8IMJ2	1
P39301	P02931	0
E1JGK7	O96860	0
Q27519	Q20717	1
P53013	Q22347	0
Q9VAQ7	O16797	0
Q7KKH3	P48592	0
Q8MQJ8	Q9VZ27	1
NP_610471	Q9V9Y9	1
P33244	P29742	0
Q9VR29	B5RIN5	1
Q18938	Q18090	0
Q9VFP2	Q9VYC7	1
Q9VX56	A1Z8W1	1
P33934	P21170	0
NP_609972	Q8IMJ2	1
P48149	NP_609969	1
Q9I7J0	Q9VVK3	1
Q9VIU2	Q9VF15	1
Q9VIP2	P82147	1
Q23973	P22812	0
O44783	P13368	1
P00490	P10485	1
P28518	Q94522	0
A0A0B4K7V5	Q94901	0
Q95QA6	H2L0C8	1
P47938	Q9VXQ3	1
P52600	P10443	0
NP_726148	Q9VKG8	1
Q9VWX7	P07486	0
P77308	P39180	0
P49700	P48592	0
Q9W363	Q7K1N5	1
Q9VV23	NP_650938	1
Q9W1T0	Q8IRH1	1
Q18195	P17330	0
Q9U297	Q09296	0
Q7JVK6	Q9VML8	1
P34619	CAB02111	0
P34619	NP_499751	0
Q9VQQ9	P48555	1
NP_648175	NP_725378	0
Q9VYL7	Q9VSB2	1
P02916	P25745	0
Q9U405	Q94519	0
Q24168	P98081	0
NP_727638	Q9W3Y7	1
P22812	P91929	0
NP_524528	Q11002	0
P53489	P40614	0
Q9XZT7	Q7JRJ1	1
P02413	P21499	1
Q9V411	O18388	0
Q7K3Q3	Q9VFV6	1
Q9VWY6	M9NHG9	0
P13468	X2JES4	0
Q9XWV0	Q18529	1
Q9VSQ5	A1Z9I0	1
Q19266	Q19749	0
Q9VJ62	P02828	0
P43508	Q9NGT3	1
Q9XVL8	O16364	1
O44424	Q95028	0
Q94535	Q02910	0
Q27934	Q6WV20	0
Q9W3X8	Q9W3X8	1
Q9VFI7	NP_726032	1
Q95T98	Q9V9Y9	1
Q9VDI3	Q5BI51	1
Q9VX83	Q8IH13	1
A0A1B2AL22	Q9VU68	0
Q86BN8	NP_572231	1
E1JH01	Q8INR6	1
Q9W0K4	P21914	0
P07666	Q9VW52	1
P25539	P25539	1
NP_649037	Q9VEP4	1
E1JGK7	B5RIN0	0
NP_610240	Q9V3H0	1
